🌐央视频道,#genre#
CCTV13,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv13
CCTV6,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv6
CCTV8,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv8
CCTV5+,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv5p
CCTV5,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv5
CCTV14,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv14
CCTV12,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv12
CCTV11,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv11
CCTV7,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv7
CCTV10,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv10
CCTV9,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv9
CCTV3,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv3
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV1,http://113.26.202.52:1299/tsfile/live/0001_1.m3u8
CCTV4,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv4
CCTV1,http://61.156.228.12:8154/tsfile/live/0001_1.m3u8
CCTV1,http://101.66.199.251:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv1$追责自负
CCTV5,http://124.116.183.146:9901/tsfile/live/0005_1.m3u8
CCTV5,http://123.129.70.178:9901/tsfile/live/0005_1.m3u8
CCTV15,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv15
CCTV13,http://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8
CCTV风云足球,http://115.150.63.77:9902/tsfile/live/1028_1.m3u8
CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
CCTV17,http://106.52.196.79:80/TV/mui.php?id=cctv17
CCTV9,http://106.52.196.79:80/TV/mui.php?id=cctv9
CCTV13,http://106.52.196.79:80/TV/mui.php?id=cctv13
CCTV12,http://106.52.196.79:80/TV/mui.php?id=cctv12
CCTV1,http://live.catvod.com/catvod.php?id=cctv1
CCTV8,http://106.52.196.79:80/TV/mui.php?id=cctv8
CCTV6,http://106.52.196.79:80/TV/mui.php?id=cctv6
CCTV4,http://106.52.196.79:80/TV/mui.php?id=cctv4
CCTV15,http://106.52.196.79:80/TV/mui.php?id=cctv15
CCTV14,http://106.52.196.79:80/TV/mui.php?id=cctv14
CCTV7,http://106.52.196.79:80/TV/mui.php?id=cctv7
CCTV3,http://106.52.196.79:80/TV/mui.php?id=cctv3
CCTV1,http://106.52.196.79:80/TV/mui.php?id=cctv1
CCTV10,http://106.52.196.79:80/TV/mui.php?id=cctv10
CCTV1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8
CCTV1,https://mursor.ottiptv.cc/gptv/G_CCTV-1-HD-265-8M.m3u8
CCTV1,http://110.80.17.38:9999/tsfile/live/0001_1.m3u8
CCTV1,http://36.105.100.208:35455/gaoma/cctv1.m3u8
CCTV1,http://111.61.101.141:199/hls/62/index.m3u8
CCTV6,http://124.116.183.146:9901/tsfile/live/0006_1.m3u8
CCTV2,http://110.80.17.38:9999/tsfile/live/0002_1.m3u8
CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8
CCTV2,https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8
CCTV4,http://php.jdshipin.com:8880/bst2.php?id=cctv4k/15000000
CCTV2,http://183.11.239.36:808/hls/20/index.m3u8
CCTV1,http://113.57.111.4:1111/tsfile/live/1000_1.m3u8
CCTV3,http://home.yulei.online:9999/rtp/226.0.2.208:9576
CCTV1,http://125.125.234.156:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV游戏风云,http://139.196.151.191:2051/rtp/239.45.3.131:5140
CCTV4,http://zqh2333.top:2222/rtp/239.93.25.105:5140
CCTV1,http://zqh2333.top:2222/rtp/239.93.24.184:5140
CCTV2,http://101.66.199.251:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://110.80.17.38:9999/tsfile/live/0003_1.m3u8
CCTV+1,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8
CCTV3,http://13937899.xyz:35455/gaoma/cctv3.m3u8
CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227607/1.m3u8?HlsProfileId=$仅供娱乐
CCTV1,https://60.191.56.186:8888/hls/1/index.m3u8$切勿商用
CCTV1,http://101.35.240.114:88/live.php?id=CCTV1$免费分享
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV2,http://148.135.93.213/live.php?id=CCTV2
CCTV2,http://148.135.93.213:81/live.php?id=CCTV2
CCTV3,https://60.191.56.186:8888/hls/3/index.m3u8
CCTV3,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227602/1.m3u8?HlsProfileId=
CCTV3,http://101.35.240.114:88/live.php?id=CCTV3
